1.599696462,79.99453738,-41.41705079,5.95433425
-1.678726951,-120.5463585,-21.48864971,14.23395646
76.58891963,-28.17029047,-52.30779742,5.535352145
-76.61752609,-27.38882251,-53.52818454,6.076188058
-26.11764706,83.52941176,-0.117647059,5.9
32.11764706,81.29411765,-0.235294118,5.3
-0.117647059,53.29411765,70.58823529,10.3
-42.625,58,39.625,11.5
46.94117647,56.70588235,40.23529412,9.5
-68.5,37.875,-5.875,6.6
71.41176471,35.64705882,-7.764705882,6.2
0.588235294,-12.70588235,101.4117647,7.5
-62.70588235,-12.70588235,69.76470588,9.7
64.23529412,-15.17647059,69.88235294,8.8
-84.58823529,-20.70588235,-10.82352941,8.5
86,-25.52941176,-9.411764706,7.4
-0.235294118,-76.58823529,88.47058824,9
-46.82352941,-88.23529412,58.82352941,10.5
44.82352941,-87.88235294,59.64705882,9.5
-72.23529412,-72.35294118,0.588235294,9.3
70.82352941,-75.64705882,4.117647059,8.7
-31.88235294,-112.5882353,17.29411765,12.6
28.11764706,-112.9411765,19.29411765,13.5
